epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,25933.1,1.39053,1.0121,0.92004,0.42514,0.32,0.31863,0.18613,1.3465,1.00259,0.9097,0.004555,0.004555,0.004555
57,26545.1,1.38578,1.00779,0.9185,0.42874,0.32007,0.32058,0.18705,1.34233,1.00112,0.90875,0.004456,0.004456,0.004456
58,26811.1,1.39442,1.01282,0.91966,0.43275,0.32902,0.3235,0.18824,1.33996,0.99909,0.90936,0.004357,0.004357,0.004357
59,27466.6,1.39356,1.00704,0.91963,0.42581,0.32572,0.32186,0.1882,1.34194,1.00051,0.90919,0.004258,0.004258,0.004258
60,27705.9,1.38357,1.0025,0.9177,0.43272,0.32712,0.32314,0.18907,1.3375,0.99592,0.90853,0.004159,0.004159,0.004159
61,27969.6,1.38217,0.99762,0.91771,0.43298,0.32614,0.32177,0.18803,1.3357,0.99606,0.90782,0.00406,0.00406,0.00406
62,30269.7,1.37574,0.99486,0.9179,0.42904,0.32607,0.32357,0.18806,1.33227,0.99389,0.90663,0.003961,0.003961,0.003961
63,30505.7,1.37835,0.99367,0.91966,0.43063,0.32537,0.32544,0.18999,1.33188,0.98871,0.90693,0.003862,0.003862,0.003862
64,30795.2,1.36999,0.99197,0.91575,0.43205,0.32131,0.32436,0.19024,1.33102,0.98732,0.90684,0.003763,0.003763,0.003763
65,32565.5,1.37371,0.98796,0.91551,0.42571,0.32493,0.32506,0.18983,1.33119,0.99077,0.90629,0.003664,0.003664,0.003664
66,32817.4,1.37032,0.98588,0.9154,0.42959,0.3265,0.3258,0.19047,1.33128,0.98929,0.90685,0.003565,0.003565,0.003565
67,33050.3,1.37194,0.98795,0.91502,0.44217,0.3259,0.32686,0.19101,1.32898,0.98635,0.90552,0.003466,0.003466,0.003466
68,33288,1.36334,0.97726,0.9141,0.43969,0.32888,0.33067,0.19303,1.3303,0.98331,0.90566,0.003367,0.003367,0.003367
69,33621,1.36348,0.97701,0.91336,0.44011,0.32342,0.32852,0.19214,1.33105,0.98783,0.90598,0.003268,0.003268,0.003268
70,33868.8,1.36343,0.97485,0.91097,0.43109,0.3305,0.32997,0.1931,1.32634,0.98328,0.90489,0.003169,0.003169,0.003169
71,34124.2,1.36058,0.97416,0.91201,0.43432,0.33141,0.33197,0.19391,1.32456,0.97962,0.90432,0.00307,0.00307,0.00307
72,34385.6,1.36377,0.97583,0.91234,0.43288,0.33298,0.33167,0.1941,1.32569,0.97988,0.90511,0.002971,0.002971,0.002971
73,34629,1.35727,0.96938,0.91146,0.42952,0.33494,0.33219,0.19478,1.32618,0.98156,0.90514,0.002872,0.002872,0.002872
74,34888.3,1.35443,0.9695,0.91282,0.43441,0.32934,0.33143,0.19511,1.32388,0.98173,0.90521,0.002773,0.002773,0.002773
75,36279.3,1.34935,0.95995,0.90992,0.44488,0.32692,0.33214,0.19482,1.32512,0.97832,0.90543,0.002674,0.002674,0.002674
76,36526,1.35161,0.96385,0.91085,0.44545,0.32986,0.33381,0.19646,1.32227,0.97752,0.90445,0.002575,0.002575,0.002575
77,36775.8,1.34448,0.95611,0.90961,0.44257,0.32947,0.33301,0.19584,1.32317,0.97743,0.90408,0.002476,0.002476,0.002476
78,37012.4,1.34987,0.95667,0.90937,0.43744,0.33091,0.33223,0.19574,1.32174,0.978,0.90364,0.002377,0.002377,0.002377
79,37252.5,1.34501,0.95344,0.90917,0.42897,0.33844,0.33286,0.19609,1.32073,0.97687,0.9032,0.002278,0.002278,0.002278
80,37513.7,1.34351,0.9558,0.90764,0.42893,0.33447,0.3308,0.19494,1.32046,0.97655,0.90323,0.002179,0.002179,0.002179
81,37762.1,1.33498,0.94472,0.90768,0.43522,0.33243,0.33243,0.19503,1.32047,0.97629,0.90337,0.00208,0.00208,0.00208
82,37992.8,1.33817,0.94341,0.90746,0.44106,0.33271,0.33343,0.1956,1.32232,0.97626,0.90377,0.001981,0.001981,0.001981
83,39041.6,1.3338,0.94162,0.90711,0.43926,0.3342,0.33454,0.19588,1.32141,0.9764,0.90343,0.001882,0.001882,0.001882
84,39265,1.33318,0.93984,0.90633,0.44808,0.33027,0.33551,0.19662,1.31955,0.97233,0.90309,0.001783,0.001783,0.001783
